[ERROR] 2021-03-26 10:39:40,362 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:39:41,434 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8082, remoting exception: com.alipay.remoting.rpc.exception.InvokeTimeoutException: Rpc invocation timeout[responseCommand TIMEOUT]! the address is 127.0.0.1:8082.
[ERROR] 2021-03-26 10:39:44,069 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:39:46,691 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:39:49,243 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:39:51,252 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:39:53,927 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:39:55,975 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:39:58,445 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:40:01,379 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:40:03,482 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:40:06,028 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:40:08,677 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:40:10,889 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:40:13,410 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
